position_id,trade_id,security,portfolio,expected_quantity,actual_quantity,as_of_date,source,split
53,TRD100052,LT,EQ-CORE-01,100,100,2026-08-06,CUSTODIAN,TRAIN
54,TRD100053,AXISBANK,EQ-ALPHA-03,250,250,2026-08-03,CUSTODIAN,TRAIN
55,TRD100054,TATASTEEL,EQ-CORE-01,1000,1000,2026-08-09,CUSTODIAN,TRAIN
56,TRD100055,HINDUNILVR,EQ-CORE-02,1500,1500,2026-08-06,CUSTODIAN,TRAIN
57,TRD100056,TATASTEEL,EQ-CORE-02,1500,1500,2026-08-12,CUSTODIAN,TEST
58,TRD100057,INFY,EQ-CORE-02,200,200,2026-08-03,CUSTODIAN,TRAIN
59,TRD100058,MARUTI,EQ-CORE-01,2000,2000,2026-08-09,CUSTODIAN,TRAIN
60,TRD100059,BHARTIARTL,EQ-ALPHA-03,1000,1000,2026-08-04,CUSTODIAN,TRAIN
61,TRD100060,KOTAKBANK,EQ-CORE-02,1000,1000,2026-08-05,CUSTODIAN,TRAIN
62,TRD100061,RELIANCE,EQ-ALPHA-03,200,200,2026-08-13,CUSTODIAN,TRAIN
63,TRD100062,AXISBANK,EQ-ALPHA-03,200,200,2026-08-20,CUSTODIAN,TRAIN
64,TRD100063,WIPRO,EQ-CORE-02,1500,1500,2026-08-19,CUSTODIAN,TRAIN
65,TRD100064,BHARTIARTL,EQ-ALPHA-03,200,200,2026-08-12,CUSTODIAN,TRAIN
66,TRD100065,WIPRO,EQ-INDEX-04,750,750,2026-08-15,CUSTODIAN,TRAIN
67,TRD100066,LT,EQ-CORE-02,250,250,2026-08-14,CUSTODIAN,TRAIN
68,TRD100067,BHARTIARTL,EQ-ALPHA-03,100,100,2026-08-08,CUSTODIAN,TRAIN
69,TRD100068,ITC,EQ-CORE-02,2000,2000,2026-08-18,CUSTODIAN,TRAIN
70,TRD100069,ICICIBANK,EQ-ALPHA-03,1000,0,2026-08-09,MISSING,TRAIN
71,TRD100070,HINDUNILVR,EQ-INDEX-04,500,500,2026-08-03,CUSTODIAN,TEST
72,TRD100071,ITC,EQ-INDEX-04,1500,1500,2026-08-20,CUSTODIAN,TRAIN
73,TRD100072,BHARTIARTL,EQ-INDEX-04,500,500,2026-08-02,CUSTODIAN,TRAIN
74,TRD100073,INFY,EQ-INDEX-04,2000,2000,2026-08-09,CUSTODIAN,TRAIN
75,TRD100074,HINDUNILVR,EQ-ALPHA-03,2000,2000,2026-08-19,CUSTODIAN,TRAIN
76,TRD100075,AXISBANK,EQ-CORE-02,1500,1500,2026-08-19,CUSTODIAN,TEST
77,TRD100076,ITC,EQ-INDEX-04,750,750,2026-08-22,CUSTODIAN,TEST
78,TRD100077,ICICIBANK,EQ-ALPHA-03,2000,2000,2026-08-11,CUSTODIAN,TRAIN
79,TRD100078,SBIN,EQ-CORE-02,200,200,2026-08-09,CUSTODIAN,TEST
80,TRD100079,TCS,EQ-INDEX-04,1500,1500,2026-08-19,CUSTODIAN,TRAIN
81,TRD100080,HDFCBANK,EQ-CORE-01,1500,1500,2026-08-20,CUSTODIAN,TRAIN
82,TRD100081,ITC,EQ-INDEX-04,100,100,2026-08-11,CUSTODIAN,TRAIN
83,TRD100082,ITC,EQ-INDEX-04,500,500,2026-08-17,CUSTODIAN,TRAIN
84,TRD100083,KOTAKBANK,EQ-CORE-01,1500,1860,2026-08-16,CUSTODIAN,TRAIN
85,TRD100084,AXISBANK,EQ-INDEX-04,100,100,2026-08-15,CUSTODIAN,TRAIN
86,TRD100085,RELIANCE,EQ-ALPHA-03,750,750,2026-08-08,CUSTODIAN,TEST
87,TRD100086,HINDUNILVR,EQ-CORE-01,1500,1500,2026-08-15,CUSTODIAN,TRAIN
88,TRD100087,RELIANCE,EQ-CORE-01,100,0,2026-08-13,MISSING,TRAIN
89,TRD100088,HINDUNILVR,EQ-CORE-02,100,100,2026-08-08,CUSTODIAN,TRAIN
90,TRD100089,INFY,EQ-INDEX-04,2000,2000,2026-08-20,CUSTODIAN,TRAIN
91,TRD100090,HINDUNILVR,EQ-CORE-01,1000,1000,2026-08-21,CUSTODIAN,TRAIN
92,TRD100091,ICICIBANK,EQ-INDEX-04,200,200,2026-08-11,CUSTODIAN,TRAIN
93,TRD100092,WIPRO,EQ-CORE-01,500,500,2026-08-22,CUSTODIAN,TRAIN
94,TRD100093,MARUTI,EQ-ALPHA-03,200,200,2026-08-20,CUSTODIAN,TRAIN
95,TRD100094,KOTAKBANK,EQ-CORE-01,1000,1000,2026-08-22,CUSTODIAN,TEST
96,TRD100095,MARUTI,EQ-INDEX-04,2000,2000,2026-08-13,CUSTODIAN,TRAIN
97,TRD100096,BHARTIARTL,EQ-INDEX-04,250,250,2026-08-22,CUSTODIAN,TRAIN
98,TRD100097,BHARTIARTL,EQ-ALPHA-03,750,750,2026-08-09,CUSTODIAN,TRAIN
99,TRD100098,HDFCBANK,EQ-CORE-01,2000,2000,2026-08-14,CUSTODIAN,TRAIN
100,TRD100099,MARUTI,EQ-ALPHA-03,1000,1000,2026-08-08,CUSTODIAN,TRAIN
101,TRD100100,ICICIBANK,EQ-CORE-01,750,1275,2026-08-18,CUSTODIAN,TRAIN
102,TRD100101,WIPRO,EQ-INDEX-04,1500,1500,2026-08-09,CUSTODIAN,TRAIN
103,TRD100102,ITC,EQ-CORE-02,100,100,2026-08-09,CUSTODIAN,TRAIN
104,TRD100103,KOTAKBANK,EQ-INDEX-04,1000,1000,2026-08-18,CUSTODIAN,TRAIN
105,TRD100104,SBIN,EQ-CORE-01,2000,2000,2026-08-10,CUSTODIAN,TRAIN
106,TRD100105,SBIN,EQ-CORE-02,200,200,2026-08-07,CUSTODIAN,TEST
107,TRD100106,ICICIBANK,EQ-CORE-02,750,750,2026-08-08,CUSTODIAN,TEST
108,TRD100107,INFY,EQ-ALPHA-03,750,750,2026-08-19,CUSTODIAN,TRAIN
109,TRD100108,RELIANCE,EQ-INDEX-04,750,750,2026-08-06,CUSTODIAN,TRAIN
110,TRD100109,MARUTI,EQ-INDEX-04,100,100,2026-08-17,CUSTODIAN,TRAIN
111,TRD100110,INFY,EQ-CORE-01,100,100,2026-08-17,CUSTODIAN,TRAIN
112,TRD100111,ITC,EQ-CORE-02,200,200,2026-08-03,CUSTODIAN,TRAIN
113,TRD100112,TCS,EQ-CORE-02,500,500,2026-08-15,CUSTODIAN,TRAIN
114,TRD100113,ITC,EQ-ALPHA-03,2000,2000,2026-08-20,CUSTODIAN,TRAIN
115,TRD100114,AXISBANK,EQ-CORE-02,200,200,2026-08-08,CUSTODIAN,TEST
116,TRD100115,KOTAKBANK,EQ-CORE-01,200,200,2026-08-07,CUSTODIAN,TRAIN
117,TRD100116,RELIANCE,EQ-ALPHA-03,1500,1500,2026-08-21,CUSTODIAN,TRAIN
118,TRD100117,HDFCBANK,EQ-CORE-02,750,750,2026-08-16,CUSTODIAN,TEST
119,TRD100118,HINDUNILVR,EQ-CORE-02,500,500,2026-08-19,CUSTODIAN,TRAIN
120,TRD100119,MARUTI,EQ-ALPHA-03,250,250,2026-08-07,CUSTODIAN,TRAIN
121,TRD100120,TCS,EQ-INDEX-04,2000,2000,2026-08-14,CUSTODIAN,TRAIN
122,TRD100121,TCS,EQ-ALPHA-03,100,100,2026-08-12,CUSTODIAN,TRAIN
123,TRD100122,TCS,EQ-CORE-01,500,500,2026-08-20,CUSTODIAN,TEST
124,TRD100123,AXISBANK,EQ-INDEX-04,100,100,2026-08-07,CUSTODIAN,TEST
125,TRD100124,INFY,EQ-INDEX-04,1500,1500,2026-08-17,CUSTODIAN,TRAIN
126,TRD100125,BHARTIARTL,EQ-ALPHA-03,1000,1000,2026-08-05,CUSTODIAN,TRAIN
127,TRD100126,WIPRO,EQ-CORE-01,2000,2000,2026-08-14,CUSTODIAN,TEST
128,TRD100127,TCS,EQ-CORE-01,1000,1000,2026-08-05,CUSTODIAN,TRAIN
129,TRD100128,BHARTIARTL,EQ-INDEX-04,100,100,2026-08-13,CUSTODIAN,TRAIN
130,TRD100129,HINDUNILVR,EQ-ALPHA-03,100,100,2026-08-19,CUSTODIAN,TRAIN
131,TRD100130,TATASTEEL,EQ-CORE-02,2000,2000,2026-08-22,CUSTODIAN,TRAIN
132,TRD100131,ICICIBANK,EQ-CORE-01,100,100,2026-08-04,CUSTODIAN,TEST
133,TRD100132,TCS,EQ-ALPHA-03,250,250,2026-08-11,CUSTODIAN,TEST
134,TRD100133,MARUTI,EQ-CORE-02,2000,6400,2026-08-09,CUSTODIAN,TEST
135,TRD100134,HDFCBANK,EQ-ALPHA-03,250,250,2026-08-10,CUSTODIAN,TRAIN
136,TRD100135,MARUTI,EQ-INDEX-04,100,100,2026-08-11,CUSTODIAN,TRAIN
137,TRD100136,ITC,EQ-INDEX-04,2000,2000,2026-08-19,CUSTODIAN,TEST
138,TRD100137,TATASTEEL,EQ-INDEX-04,1000,1000,2026-08-09,CUSTODIAN,TRAIN
139,TRD100138,MARUTI,EQ-INDEX-04,1500,1500,2026-08-17,CUSTODIAN,TRAIN
140,TRD100139,KOTAKBANK,EQ-ALPHA-03,250,250,2026-08-03,CUSTODIAN,TRAIN
141,TRD100140,MARUTI,EQ-CORE-02,2000,2000,2026-08-16,CUSTODIAN,TRAIN
142,TRD100141,MARUTI,EQ-INDEX-04,250,250,2026-08-10,CUSTODIAN,TRAIN
143,TRD100142,MARUTI,EQ-ALPHA-03,1000,1000,2026-08-19,CUSTODIAN,TRAIN
144,TRD100143,MARUTI,EQ-ALPHA-03,100,100,2026-08-09,CUSTODIAN,TRAIN
145,TRD100144,WIPRO,EQ-CORE-01,200,200,2026-08-05,CUSTODIAN,TRAIN
146,TRD100145,INFY,EQ-CORE-01,750,750,2026-08-03,CUSTODIAN,TEST
147,TRD100146,SBIN,EQ-INDEX-04,1000,1000,2026-08-09,CUSTODIAN,TRAIN
148,TRD100147,INFY,EQ-CORE-02,250,250,2026-08-14,CUSTODIAN,TRAIN
149,TRD100148,TATASTEEL,EQ-INDEX-04,250,250,2026-08-22,CUSTODIAN,TEST
150,TRD100149,KOTAKBANK,EQ-CORE-02,100,100,2026-08-16,CUSTODIAN,TRAIN
151,TRD100150,ITC,EQ-INDEX-04,1000,1000,2026-08-11,CUSTODIAN,TRAIN
152,TRD100151,ITC,EQ-CORE-01,750,750,2026-08-14,CUSTODIAN,TEST
153,TRD100152,BHARTIARTL,EQ-INDEX-04,1000,0,2026-08-11,MISSING,TEST
154,TRD100153,RELIANCE,EQ-CORE-02,100,100,2026-08-17,CUSTODIAN,TRAIN
155,TRD100154,HDFCBANK,EQ-CORE-01,500,500,2026-08-06,CUSTODIAN,TRAIN
156,TRD100155,ICICIBANK,EQ-CORE-02,2000,2000,2026-08-13,CUSTODIAN,TRAIN
157,TRD100156,TATASTEEL,EQ-CORE-02,750,750,2026-08-15,CUSTODIAN,TRAIN
158,TRD100157,HINDUNILVR,EQ-ALPHA-03,1000,1000,2026-08-10,CUSTODIAN,TEST
159,TRD100158,HINDUNILVR,EQ-INDEX-04,750,750,2026-08-12,CUSTODIAN,TEST
160,TRD100159,INFY,EQ-ALPHA-03,500,500,2026-08-14,CUSTODIAN,TRAIN
161,TRD100160,HINDUNILVR,EQ-INDEX-04,1500,1500,2026-08-19,CUSTODIAN,TRAIN
162,TRD100161,KOTAKBANK,EQ-CORE-01,750,750,2026-08-22,CUSTODIAN,TEST
163,TRD100162,ITC,EQ-CORE-02,100,100,2026-08-19,CUSTODIAN,TEST
164,TRD100163,KOTAKBANK,EQ-INDEX-04,2000,2000,2026-08-11,CUSTODIAN,TEST
165,TRD100164,INFY,EQ-CORE-01,100,100,2026-08-11,CUSTODIAN,TRAIN
166,TRD100165,HDFCBANK,EQ-INDEX-04,250,250,2026-08-13,CUSTODIAN,TRAIN
167,TRD100166,TATASTEEL,EQ-INDEX-04,1500,1500,2026-08-17,CUSTODIAN,TRAIN
168,TRD100167,RELIANCE,EQ-ALPHA-03,1000,1000,2026-08-16,CUSTODIAN,TRAIN
169,TRD100168,KOTAKBANK,EQ-CORE-01,1000,1000,2026-08-22,CUSTODIAN,TRAIN
170,TRD100169,ICICIBANK,EQ-CORE-02,500,500,2026-08-16,CUSTODIAN,TEST
171,TRD100170,RELIANCE,EQ-CORE-02,1000,1000,2026-08-06,CUSTODIAN,TRAIN
172,TRD100171,MARUTI,EQ-CORE-02,500,500,2026-08-09,CUSTODIAN,TRAIN
173,TRD100172,ICICIBANK,EQ-CORE-02,250,250,2026-08-19,CUSTODIAN,TEST
174,TRD100173,KOTAKBANK,EQ-ALPHA-03,100,100,2026-08-13,CUSTODIAN,TRAIN
175,TRD100174,INFY,EQ-CORE-01,750,878,2026-08-15,CUSTODIAN,TRAIN
176,TRD100175,ITC,EQ-CORE-01,2000,2000,2026-08-18,CUSTODIAN,TRAIN
177,TRD100176,LT,EQ-ALPHA-03,500,500,2026-08-03,CUSTODIAN,TRAIN
178,TRD100177,KOTAKBANK,EQ-INDEX-04,100,100,2026-08-17,CUSTODIAN,TEST
179,TRD100178,ITC,EQ-CORE-02,2000,2000,2026-08-04,CUSTODIAN,TRAIN
180,TRD100179,INFY,EQ-ALPHA-03,750,750,2026-08-20,CUSTODIAN,TRAIN
181,TRD100180,AXISBANK,EQ-CORE-01,750,1350,2026-08-21,CUSTODIAN,TRAIN
182,TRD100181,MARUTI,EQ-ALPHA-03,500,500,2026-08-09,CUSTODIAN,TEST
183,TRD100182,BHARTIARTL,EQ-ALPHA-03,1500,1500,2026-08-12,CUSTODIAN,TRAIN
184,TRD100183,SBIN,EQ-CORE-01,250,250,2026-08-17,CUSTODIAN,TEST
185,TRD100184,TCS,EQ-CORE-01,1500,1500,2026-08-13,CUSTODIAN,TRAIN
186,TRD100185,KOTAKBANK,EQ-CORE-01,200,200,2026-08-15,CUSTODIAN,TEST
187,TRD100186,AXISBANK,EQ-CORE-02,750,750,2026-08-20,CUSTODIAN,TRAIN
188,TRD100187,KOTAKBANK,EQ-ALPHA-03,2000,2000,2026-08-05,CUSTODIAN,TEST
189,TRD100188,HINDUNILVR,EQ-CORE-01,750,750,2026-08-15,CUSTODIAN,TRAIN
190,TRD100189,RELIANCE,EQ-ALPHA-03,250,250,2026-08-12,CUSTODIAN,TRAIN
191,TRD100190,INFY,EQ-CORE-02,250,250,2026-08-14,CUSTODIAN,TEST
192,TRD100191,TCS,EQ-CORE-02,500,500,2026-08-16,CUSTODIAN,TRAIN
193,TRD100192,ICICIBANK,EQ-CORE-01,1000,1000,2026-08-20,CUSTODIAN,TEST
194,TRD100193,INFY,EQ-CORE-01,250,250,2026-08-03,CUSTODIAN,TEST
195,TRD100194,ITC,EQ-ALPHA-03,1500,1500,2026-08-16,CUSTODIAN,TRAIN
196,TRD100195,HINDUNILVR,EQ-INDEX-04,200,200,2026-08-05,CUSTODIAN,TRAIN
197,TRD100196,RELIANCE,EQ-CORE-01,500,500,2026-08-21,CUSTODIAN,TRAIN
198,TRD100197,ICICIBANK,EQ-ALPHA-03,500,500,2026-08-10,CUSTODIAN,TRAIN
199,TRD100198,RELIANCE,EQ-INDEX-04,2000,2000,2026-08-07,CUSTODIAN,TRAIN
200,TRD100199,LT,EQ-CORE-01,1000,1000,2026-08-03,CUSTODIAN,TRAIN
201,TRD100200,TATASTEEL,EQ-INDEX-04,200,200,2026-08-20,CUSTODIAN,TRAIN
202,TRD100201,ICICIBANK,EQ-INDEX-04,200,200,2026-08-12,CUSTODIAN,TEST
203,TRD100202,TCS,EQ-INDEX-04,1500,1500,2026-08-09,CUSTODIAN,TRAIN
204,TRD100203,BHARTIARTL,EQ-CORE-02,750,750,2026-08-09,CUSTODIAN,TRAIN
205,TRD100204,LT,EQ-ALPHA-03,200,174,2026-08-08,CUSTODIAN,TRAIN
206,TRD100205,HDFCBANK,EQ-CORE-02,200,200,2026-08-08,CUSTODIAN,TRAIN
207,TRD100206,INFY,EQ-INDEX-04,2000,2480,2026-08-20,CUSTODIAN,TRAIN
208,TRD100207,MARUTI,EQ-INDEX-04,1000,1000,2026-08-04,CUSTODIAN,TRAIN
209,TRD100208,HINDUNILVR,EQ-CORE-01,750,750,2026-08-13,CUSTODIAN,TRAIN
210,TRD100209,ITC,EQ-CORE-01,2000,2000,2026-08-13,CUSTODIAN,TEST
211,TRD100210,AXISBANK,EQ-CORE-01,1500,1500,2026-08-19,CUSTODIAN,TEST
212,TRD100211,TATASTEEL,EQ-CORE-02,500,500,2026-08-17,CUSTODIAN,TEST
213,TRD100212,ITC,EQ-CORE-01,200,200,2026-08-12,CUSTODIAN,TRAIN
214,TRD100213,RELIANCE,EQ-CORE-02,500,0,2026-08-16,MISSING,TRAIN
215,TRD100214,SBIN,EQ-CORE-01,750,750,2026-08-13,CUSTODIAN,TEST
216,TRD100215,TCS,EQ-ALPHA-03,1000,1000,2026-08-14,CUSTODIAN,TEST
217,TRD100216,SBIN,EQ-ALPHA-03,200,200,2026-08-06,CUSTODIAN,TRAIN
218,TRD100217,INFY,EQ-ALPHA-03,200,200,2026-08-14,CUSTODIAN,TEST
219,TRD100218,KOTAKBANK,EQ-ALPHA-03,200,200,2026-08-15,CUSTODIAN,TRAIN
220,TRD100219,SBIN,EQ-INDEX-04,750,750,2026-08-08,CUSTODIAN,TRAIN
221,TRD100220,HDFCBANK,EQ-CORE-01,250,250,2026-08-11,CUSTODIAN,TEST
222,TRD100221,TATASTEEL,EQ-CORE-02,250,250,2026-08-06,CUSTODIAN,TRAIN
223,TRD100222,WIPRO,EQ-CORE-02,2000,2000,2026-08-13,CUSTODIAN,TRAIN
224,TRD100223,AXISBANK,EQ-CORE-02,750,750,2026-08-16,CUSTODIAN,TEST
225,TRD100224,HINDUNILVR,EQ-INDEX-04,2000,0,2026-08-08,MISSING,TEST
226,TRD100225,HINDUNILVR,EQ-INDEX-04,750,750,2026-08-18,CUSTODIAN,TRAIN
227,TRD100226,MARUTI,EQ-CORE-01,500,500,2026-08-06,CUSTODIAN,TRAIN
228,TRD100227,MARUTI,EQ-CORE-01,1000,1000,2026-08-05,CUSTODIAN,TRAIN
229,TRD100228,TCS,EQ-INDEX-04,250,250,2026-08-18,CUSTODIAN,TEST
230,TRD100229,TATASTEEL,EQ-INDEX-04,500,500,2026-08-13,CUSTODIAN,TRAIN
231,TRD100230,BHARTIARTL,EQ-CORE-02,1000,1000,2026-08-04,CUSTODIAN,TRAIN
232,TRD100231,SBIN,EQ-CORE-02,200,200,2026-08-22,CUSTODIAN,TRAIN
233,TRD100232,RELIANCE,EQ-CORE-02,750,750,2026-08-17,CUSTODIAN,TRAIN
234,TRD100233,ITC,EQ-CORE-02,100,100,2026-08-02,CUSTODIAN,TRAIN
235,TRD100234,LT,EQ-ALPHA-03,1500,1500,2026-08-11,CUSTODIAN,TRAIN
236,TRD100235,RELIANCE,EQ-CORE-01,500,500,2026-08-21,CUSTODIAN,TRAIN
237,TRD100236,MARUTI,EQ-CORE-02,2000,2000,2026-08-02,CUSTODIAN,TRAIN
238,TRD100237,ICICIBANK,EQ-INDEX-04,1500,1500,2026-08-13,CUSTODIAN,TRAIN
239,TRD100238,KOTAKBANK,EQ-CORE-01,200,200,2026-08-13,CUSTODIAN,TRAIN
240,TRD100239,MARUTI,EQ-ALPHA-03,2000,2000,2026-08-14,CUSTODIAN,TEST
241,TRD100240,SBIN,EQ-ALPHA-03,200,200,2026-08-22,CUSTODIAN,TRAIN
242,TRD100241,RELIANCE,EQ-INDEX-04,1000,2200,2026-08-22,CUSTODIAN,TRAIN
243,TRD100242,KOTAKBANK,EQ-INDEX-04,250,250,2026-08-04,CUSTODIAN,TRAIN
244,TRD100243,ICICIBANK,EQ-ALPHA-03,500,500,2026-08-08,CUSTODIAN,TRAIN
245,TRD100244,LT,EQ-ALPHA-03,1500,1500,2026-08-19,CUSTODIAN,TRAIN
246,TRD100245,HINDUNILVR,EQ-ALPHA-03,500,500,2026-08-03,CUSTODIAN,TEST
247,TRD100246,TCS,EQ-INDEX-04,1000,1000,2026-08-14,CUSTODIAN,TRAIN
248,TRD100247,SBIN,EQ-ALPHA-03,250,250,2026-08-17,CUSTODIAN,TEST
249,TRD100248,WIPRO,EQ-ALPHA-03,1500,1500,2026-08-21,CUSTODIAN,TRAIN
250,TRD100249,TCS,EQ-INDEX-04,200,200,2026-08-11,CUSTODIAN,TRAIN
251,TRD100250,INFY,EQ-ALPHA-03,2000,2000,2026-08-03,CUSTODIAN,TRAIN
252,TRD100251,ICICIBANK,EQ-ALPHA-03,100,100,2026-08-22,CUSTODIAN,TRAIN
253,TRD100252,RELIANCE,EQ-CORE-02,250,250,2026-08-16,CUSTODIAN,TEST
254,TRD100253,HDFCBANK,EQ-CORE-02,1000,1000,2026-08-20,CUSTODIAN,TRAIN
255,TRD100254,SBIN,EQ-CORE-02,1000,1000,2026-08-04,CUSTODIAN,TRAIN
256,TRD100255,BHARTIARTL,EQ-CORE-01,1000,0,2026-08-09,MISSING,TRAIN
257,TRD100256,ITC,EQ-ALPHA-03,1500,1500,2026-08-05,CUSTODIAN,TRAIN
258,TRD100257,HDFCBANK,EQ-CORE-01,750,750,2026-08-17,CUSTODIAN,TRAIN
259,TRD100258,MARUTI,EQ-ALPHA-03,200,200,2026-08-16,CUSTODIAN,TRAIN
260,TRD100259,WIPRO,EQ-CORE-02,200,200,2026-08-11,CUSTODIAN,TRAIN
261,TRD100260,HINDUNILVR,EQ-CORE-02,1000,1000,2026-08-05,CUSTODIAN,TEST
262,TRD100261,HINDUNILVR,EQ-ALPHA-03,2000,2000,2026-08-19,CUSTODIAN,TRAIN
263,TRD100262,HINDUNILVR,EQ-ALPHA-03,250,250,2026-08-04,CUSTODIAN,TRAIN
264,TRD100263,WIPRO,EQ-CORE-01,2000,2000,2026-08-15,CUSTODIAN,TRAIN
265,TRD100264,SBIN,EQ-CORE-02,200,200,2026-08-18,CUSTODIAN,TEST
266,TRD100265,HINDUNILVR,EQ-CORE-02,250,292,2026-08-03,CUSTODIAN,TRAIN
267,TRD100266,INFY,EQ-ALPHA-03,250,250,2026-08-09,CUSTODIAN,TRAIN
268,TRD100267,ICICIBANK,EQ-CORE-02,500,500,2026-08-19,CUSTODIAN,TRAIN
269,TRD100268,AXISBANK,EQ-CORE-02,200,0,2026-08-07,MISSING,TRAIN
270,TRD100269,KOTAKBANK,EQ-CORE-01,1000,1000,2026-08-20,CUSTODIAN,TRAIN
