trade_id,trade_date,security,isin,ticker,quantity,price,trade_value,counterparty,portfolio,booking_status,settlement_date,side,confirmed_price,confirmed_quantity,confirmed_trade_date,confirmed_counterparty,confirmation_status,split
TRD100034,2026-08-18,MARUTI,INE100034,MARUTI,200,12972.62,2594524.0,ICICI-CUST,EQ-CORE-01,BOOKED,2026-08-19,BUY,12972.62,200,2026-08-18,ICICI-CUST,RECEIVED,TRAIN
TRD100035,2026-08-16,TCS,INE100035,TCS,500,4107.0,2053500.0,DEUTSCHE-BROKER,EQ-CORE-02,BOOKED,2026-08-17,SELL,4107.0,500,2026-08-16,DEUTSCHE-BROKER,RECEIVED,TRAIN
TRD100036,2026-08-01,TATASTEEL,INE100036,TATASTEEL,100,171.87,17187.0,DEUTSCHE-BROKER,EQ-ALPHA-03,BOOKED,2026-08-02,SELL,174.04,175,2026-08-01,DEUTSCHE-BROKER,RECEIVED,TEST
TRD100037,2026-08-18,ICICIBANK,INE100037,ICICIBANK,1500,1243.24,1864860.0,NOMURA-BROKER,EQ-INDEX-04,BOOKED,2026-08-19,BUY,1243.24,1500,2026-08-19,NOMURA-BROKER,RECEIVED,TEST
TRD100038,2026-08-02,HDFCBANK,INE100038,HDFCBANK,750,1670.47,1252852.5,MORGANSTANLEY-BROKER,EQ-CORE-01,BOOKED,2026-08-03,SELL,1670.47,750,2026-08-02,MORGANSTANLEY-BROKER,RECEIVED,TRAIN
TRD100039,2026-08-17,RELIANCE,INE100039,RELIANCE,100,2852.9,285290.0,MORGANSTANLEY-BROKER,EQ-CORE-02,BOOKED,2026-08-18,BUY,2852.9,100,2026-08-17,MORGANSTANLEY-BROKER,RECEIVED,TRAIN
TRD100040,2026-08-03,LT,INE100040,LT,200,3693.08,738616.0,MORGANSTANLEY-BROKER,EQ-CORE-01,BOOKED,2026-08-04,BUY,3693.08,200,2026-08-03,MORGANSTANLEY-BROKER,RECEIVED,TRAIN
TRD100041,2026-08-19,BHARTIARTL,INE100041,BHARTIARTL,200,1697.86,339572.0,HDFC-CUST,EQ-CORE-01,BOOKED,2026-08-20,BUY,1697.86,200,2026-08-19,HDFC-CUST,RECEIVED,TRAIN
TRD100042,2026-08-07,BHARTIARTL,INE100042,BHARTIARTL,1000,1697.75,1697750.0,NOMURA-BROKER,EQ-ALPHA-03,BOOKED,2026-08-08,BUY,1697.75,1000,2026-08-07,NOMURA-BROKER,RECEIVED,TRAIN
TRD100043,2026-08-21,ICICIBANK,INE100043,ICICIBANK,1500,1236.22,1854330.0,KOTAK-CUST,EQ-INDEX-04,BOOKED,2026-08-22,SELL,1236.22,1500,2026-08-21,KOTAK-CUST,RECEIVED,TRAIN
TRD100044,2026-08-20,TATASTEEL,INE100044,TATASTEEL,200,171.6,34320.0,MORGANSTANLEY-BROKER,EQ-CORE-01,BOOKED,2026-08-21,BUY,171.6,200,2026-08-20,MORGANSTANLEY-BROKER,RECEIVED,TRAIN
TRD100045,2026-08-05,LT,INE100045,LT,500,3680.37,1840185.0,KOTAK-CUST,EQ-CORE-01,BOOKED,2026-08-06,BUY,3680.37,500,2026-08-05,KOTAK-CUST,RECEIVED,TEST
TRD100046,2026-08-18,SBIN,INE100046,SBIN,750,842.71,632032.5,NOMURA-BROKER,EQ-ALPHA-03,BOOKED,2026-08-19,BUY,842.71,750,2026-08-18,MORGANSTANLEY-BROKER,RECEIVED,TEST
TRD100047,2026-08-04,KOTAKBANK,INE100047,KOTAKBANK,750,1964.14,1473105.0,HDFC-CUST,EQ-ALPHA-03,BOOKED,2026-08-05,BUY,1964.14,750,2026-08-04,HDFC-CUST,RECEIVED,TRAIN
TRD100048,2026-08-05,TATASTEEL,INE100048,TATASTEEL,200,172.87,34574.0,KOTAK-CUST,EQ-ALPHA-03,BOOKED,2026-08-06,BUY,172.87,200,2026-08-05,KOTAK-CUST,RECEIVED,TRAIN
TRD100049,2026-08-21,WIPRO,INE100049,WIPRO,1000,608.54,608540.0,KOTAK-CUST,EQ-INDEX-04,BOOKED,2026-08-22,SELL,608.54,1000,2026-08-21,KOTAK-CUST,RECEIVED,TRAIN
TRD100050,2026-08-14,TATASTEEL,INE100050,TATASTEEL,100,171.75,17175.0,KOTAK-CUST,EQ-CORE-01,BOOKED,2026-08-15,BUY,171.75,100,2026-08-14,KOTAK-CUST,RECEIVED,TRAIN
TRD100051,2026-08-09,SBIN,INE100051,SBIN,250,846.76,211690.0,HDFC-CUST,EQ-INDEX-04,BOOKED,2026-08-10,SELL,846.76,250,2026-08-09,HDFC-CUST,RECEIVED,TRAIN
TRD100052,2026-08-05,LT,INE100052,LT,100,3665.87,366587.0,MORGANSTANLEY-BROKER,EQ-CORE-01,BOOKED,2026-08-06,SELL,3665.87,100,2026-08-05,MORGANSTANLEY-BROKER,RECEIVED,TRAIN
TRD100053,2026-08-02,AXISBANK,INE100053,AXISBANK,250,1179.42,294855.0,KOTAK-CUST,EQ-ALPHA-03,BOOKED,2026-08-03,BUY,1179.42,250,2026-08-02,KOTAK-CUST,RECEIVED,TRAIN
TRD100054,2026-08-08,TATASTEEL,INE100054,TATASTEEL,1000,171.95,171950.0,NOMURA-BROKER,EQ-CORE-01,BOOKED,2026-08-09,SELL,171.95,1000,2026-08-08,NOMURA-BROKER,RECEIVED,TRAIN
TRD100055,2026-08-05,HINDUNILVR,INE100055,HINDUNILVR,1500,2758.61,4137915.0,HDFC-CUST,EQ-CORE-02,BOOKED,2026-08-06,BUY,2789.43,1425,2026-08-05,HDFC-CUST,RECEIVED,TRAIN
TRD100056,2026-08-11,TATASTEEL,INE100056,TATASTEEL,1500,171.63,257445.0,DEUTSCHE-BROKER,EQ-CORE-02,BOOKED,2026-08-12,SELL,171.63,1500,2026-08-11,DEUTSCHE-BROKER,RECEIVED,TEST
TRD100057,2026-08-02,INFY,INE100057,INFY,200,1888.08,377616.0,DEUTSCHE-BROKER,EQ-CORE-02,BOOKED,2026-08-03,BUY,1888.08,200,2026-08-02,DEUTSCHE-BROKER,RECEIVED,TRAIN
TRD100058,2026-08-08,MARUTI,INE100058,MARUTI,2000,12960.49,25920980.0,HDFC-CUST,EQ-CORE-01,BOOKED,2026-08-09,BUY,12960.49,2000,2026-08-08,HDFC-CUST,RECEIVED,TRAIN
TRD100059,2026-08-03,BHARTIARTL,INE100059,BHARTIARTL,1000,1686.66,1686660.0,KOTAK-CUST,EQ-ALPHA-03,BOOKED,2026-08-04,SELL,1686.66,1000,2026-08-03,KOTAK-CUST,RECEIVED,TRAIN
TRD100060,2026-08-04,KOTAKBANK,INE100060,KOTAKBANK,1000,1964.29,1964290.0,KOTAK-CUST,EQ-CORE-02,BOOKED,2026-08-05,SELL,1964.29,1050,2026-08-04,KOTAK-CUST,RECEIVED,TRAIN
TRD100061,2026-08-12,RELIANCE,INE100061,RELIANCE,200,2853.25,570650.0,NOMURA-BROKER,EQ-ALPHA-03,BOOKED,2026-08-13,SELL,2853.25,200,2026-08-12,NOMURA-BROKER,RECEIVED,TRAIN
TRD100062,2026-08-19,AXISBANK,INE100062,AXISBANK,200,1178.9,235780.0,HDFC-CUST,EQ-ALPHA-03,BOOKED,2026-08-20,BUY,1178.9,200,2026-08-19,HDFC-CUST,RECEIVED,TRAIN
TRD100063,2026-08-18,WIPRO,INE100063,WIPRO,1500,607.31,910965.0,NOMURA-BROKER,EQ-CORE-02,BOOKED,2026-08-19,SELL,607.31,1500,2026-08-18,NOMURA-BROKER,RECEIVED,TRAIN
TRD100064,2026-08-11,BHARTIARTL,INE100064,BHARTIARTL,200,1697.99,339598.0,MORGANSTANLEY-BROKER,EQ-ALPHA-03,BOOKED,2026-08-12,BUY,1697.99,200,2026-08-11,MORGANSTANLEY-BROKER,RECEIVED,TRAIN
TRD100065,2026-08-14,WIPRO,INE100065,WIPRO,750,610.39,457792.5,KOTAK-CUST,EQ-INDEX-04,BOOKED,2026-08-15,SELL,610.39,750,2026-08-14,KOTAK-CUST,RECEIVED,TRAIN
TRD100066,2026-08-13,LT,INE100066,LT,250,3668.81,917202.5,NOMURA-BROKER,EQ-CORE-02,BOOKED,2026-08-14,SELL,3668.81,250,2026-08-13,NOMURA-BROKER,RECEIVED,TRAIN
TRD100067,2026-08-07,BHARTIARTL,INE100067,BHARTIARTL,100,1687.08,168708.0,DEUTSCHE-BROKER,EQ-ALPHA-03,BOOKED,2026-08-08,SELL,1687.08,100,2026-08-07,DEUTSCHE-BROKER,RECEIVED,TRAIN
TRD100068,2026-08-17,ITC,INE100068,ITC,2000,469.72,939440.0,DEUTSCHE-BROKER,EQ-CORE-02,BOOKED,2026-08-18,BUY,469.72,2000,2026-08-17,DEUTSCHE-BROKER,RECEIVED,TRAIN
TRD100069,2026-08-08,ICICIBANK,INE100069,ICICIBANK,1000,1235.75,1235750.0,NOMURA-BROKER,EQ-ALPHA-03,BOOKED,2026-08-09,BUY,1235.75,1000,2026-08-08,NOMURA-BROKER,RECEIVED,TRAIN
TRD100070,2026-08-02,HINDUNILVR,INE100070,HINDUNILVR,500,2735.92,1367960.0,HDFC-CUST,EQ-INDEX-04,BOOKED,2026-08-03,BUY,2735.92,500,2026-08-02,HDFC-CUST,RECEIVED,TEST
TRD100071,2026-08-19,ITC,INE100071,ITC,1500,470.71,706065.0,HDFC-CUST,EQ-INDEX-04,BOOKED,2026-08-20,SELL,460.15,1500,2026-08-19,HDFC-CUST,RECEIVED,TRAIN
TRD100072,2026-08-01,BHARTIARTL,INE100072,BHARTIARTL,500,1684.44,842220.0,ICICI-CUST,EQ-INDEX-04,BOOKED,2026-08-02,BUY,1684.44,550,2026-08-01,ICICI-CUST,RECEIVED,TRAIN
TRD100073,2026-08-08,INFY,INE100073,INFY,2000,1881.8,3763600.0,ICICI-CUST,EQ-INDEX-04,BOOKED,2026-08-09,BUY,1881.8,2000,2026-08-08,HDFC-CUST,RECEIVED,TRAIN
TRD100074,2026-08-18,HINDUNILVR,INE100074,HINDUNILVR,2000,2750.2,5500400.0,MORGANSTANLEY-BROKER,EQ-ALPHA-03,BOOKED,2026-08-19,SELL,2750.2,2000,2026-08-18,HDFC-CUST,RECEIVED,TRAIN
TRD100075,2026-08-18,AXISBANK,INE100075,AXISBANK,1500,1184.15,1776225.0,DEUTSCHE-BROKER,EQ-CORE-02,BOOKED,2026-08-19,SELL,1184.15,1500,2026-08-18,DEUTSCHE-BROKER,RECEIVED,TEST
TRD100076,2026-08-21,ITC,INE100076,ITC,750,470.08,352560.0,KOTAK-CUST,EQ-INDEX-04,BOOKED,2026-08-22,BUY,470.08,750,2026-08-21,KOTAK-CUST,RECEIVED,TEST
TRD100077,2026-08-10,ICICIBANK,INE100077,ICICIBANK,2000,1235.56,2471120.0,HDFC-CUST,EQ-ALPHA-03,BOOKED,2026-08-11,SELL,1235.56,2200,2026-08-10,HDFC-CUST,RECEIVED,TRAIN
TRD100078,2026-08-08,SBIN,INE100078,SBIN,200,842.54,168508.0,DEUTSCHE-BROKER,EQ-CORE-02,BOOKED,2026-08-09,BUY,842.54,200,2026-08-08,DEUTSCHE-BROKER,RECEIVED,TEST
TRD100079,2026-08-18,TCS,INE100079,TCS,1500,4116.94,6175410.0,DEUTSCHE-BROKER,EQ-INDEX-04,BOOKED,2026-08-19,BUY,4116.94,1500,2026-08-18,DEUTSCHE-BROKER,RECEIVED,TRAIN
TRD100080,2026-08-19,HDFCBANK,INE100080,HDFCBANK,1500,1673.35,2510025.0,NOMURA-BROKER,EQ-CORE-01,BOOKED,2026-08-20,SELL,1673.35,1500,2026-08-19,NOMURA-BROKER,RECEIVED,TRAIN
TRD100081,2026-08-10,ITC,INE100081,ITC,100,470.98,47098.0,DEUTSCHE-BROKER,EQ-INDEX-04,BOOKED,2026-08-11,BUY,470.98,100,2026-08-10,DEUTSCHE-BROKER,RECEIVED,TRAIN
TRD100082,2026-08-16,ITC,INE100082,ITC,500,467.84,233920.0,ICICI-CUST,EQ-INDEX-04,BOOKED,2026-08-17,SELL,467.84,500,2026-08-16,ICICI-CUST,RECEIVED,TRAIN
TRD100083,2026-08-15,KOTAKBANK,INE100083,KOTAKBANK,1500,1960.08,2940120.0,HDFC-CUST,EQ-CORE-01,BOOKED,2026-08-16,SELL,1960.08,1500,2026-08-15,HDFC-CUST,RECEIVED,TRAIN
TRD100084,2026-08-14,AXISBANK,INE100084,AXISBANK,100,1175.34,117534.0,HDFC-CUST,EQ-INDEX-04,BOOKED,2026-08-15,BUY,1175.34,100,2026-08-14,HDFC-CUST,RECEIVED,TRAIN
TRD100085,2026-08-07,RELIANCE,INE100085,RELIANCE,750,2847.05,2135287.5,DEUTSCHE-BROKER,EQ-ALPHA-03,BOOKED,2026-08-08,SELL,2847.05,750,2026-08-07,DEUTSCHE-BROKER,RECEIVED,TEST
TRD100086,2026-08-14,HINDUNILVR,INE100086,HINDUNILVR,1500,2739.51,4109265.0,KOTAK-CUST,EQ-CORE-01,BOOKED,2026-08-15,SELL,2739.51,1500,2026-08-14,KOTAK-CUST,RECEIVED,TRAIN
TRD100087,2026-08-12,RELIANCE,INE100087,RELIANCE,100,2864.75,286475.0,HDFC-CUST,EQ-CORE-01,BOOKED,2026-08-13,BUY,2864.75,100,2026-08-12,HDFC-CUST,RECEIVED,TRAIN
TRD100088,2026-08-07,HINDUNILVR,INE100088,HINDUNILVR,100,2757.94,275794.0,ICICI-CUST,EQ-CORE-02,BOOKED,2026-08-08,BUY,2757.94,100,2026-08-07,ICICI-CUST,RECEIVED,TRAIN
TRD100089,2026-08-19,INFY,INE100089,INFY,2000,1893.5,3787000.0,HDFC-CUST,EQ-INDEX-04,BOOKED,2026-08-20,SELL,1893.5,2000,2026-08-19,HDFC-CUST,RECEIVED,TRAIN
TRD100090,2026-08-20,HINDUNILVR,INE100090,HINDUNILVR,1000,2736.48,2736480.0,NOMURA-BROKER,EQ-CORE-01,BOOKED,2026-08-21,BUY,2736.48,1000,2026-08-20,NOMURA-BROKER,RECEIVED,TRAIN
TRD100091,2026-08-10,ICICIBANK,INE100091,ICICIBANK,200,1241.78,248356.0,MORGANSTANLEY-BROKER,EQ-INDEX-04,BOOKED,2026-08-11,SELL,1241.78,200,2026-08-11,MORGANSTANLEY-BROKER,RECEIVED,TRAIN
TRD100092,2026-08-21,WIPRO,INE100092,WIPRO,500,607.76,303880.0,HDFC-CUST,EQ-CORE-01,BOOKED,2026-08-22,SELL,607.76,500,2026-08-21,HDFC-CUST,RECEIVED,TRAIN
TRD100093,2026-08-19,MARUTI,INE100093,MARUTI,200,13018.45,2603690.0,ICICI-CUST,EQ-ALPHA-03,BOOKED,2026-08-20,SELL,13018.45,200,2026-08-19,ICICI-CUST,RECEIVED,TRAIN
TRD100094,2026-08-21,KOTAKBANK,INE100094,KOTAKBANK,1000,1947.27,1947270.0,KOTAK-CUST,EQ-CORE-01,BOOKED,2026-08-22,SELL,1947.27,1000,2026-08-21,KOTAK-CUST,RECEIVED,TEST
TRD100095,2026-08-12,MARUTI,INE100095,MARUTI,2000,12928.8,25857600.0,NOMURA-BROKER,EQ-INDEX-04,BOOKED,2026-08-13,BUY,12928.8,2000,2026-08-12,NOMURA-BROKER,RECEIVED,TRAIN
TRD100096,2026-08-21,BHARTIARTL,INE100096,BHARTIARTL,250,1694.35,423587.5,KOTAK-CUST,EQ-INDEX-04,BOOKED,2026-08-22,SELL,1694.35,250,2026-08-21,KOTAK-CUST,RECEIVED,TRAIN
TRD100097,2026-08-08,BHARTIARTL,INE100097,BHARTIARTL,750,1687.4,1265550.0,ICICI-CUST,EQ-ALPHA-03,BOOKED,2026-08-09,SELL,1687.4,800,2026-08-08,ICICI-CUST,RECEIVED,TRAIN
TRD100098,2026-08-13,HDFCBANK,INE100098,HDFCBANK,2000,1676.37,3352740.0,KOTAK-CUST,EQ-CORE-01,BOOKED,2026-08-14,SELL,1676.37,2000,2026-08-13,HDFC-CUST,RECEIVED,TRAIN
TRD100099,2026-08-07,MARUTI,INE100099,MARUTI,1000,12938.7,12938700.0,KOTAK-CUST,EQ-ALPHA-03,BOOKED,2026-08-08,SELL,12938.7,1000,2026-08-07,KOTAK-CUST,RECEIVED,TRAIN
TRD100100,2026-08-17,ICICIBANK,INE100100,ICICIBANK,750,1241.49,931117.5,HDFC-CUST,EQ-CORE-01,BOOKED,2026-08-18,BUY,1241.49,750,2026-08-17,HDFC-CUST,RECEIVED,TRAIN
TRD100101,2026-08-08,WIPRO,INE100101,WIPRO,1500,610.28,915420.0,NOMURA-BROKER,EQ-INDEX-04,BOOKED,2026-08-09,SELL,610.28,1500,2026-08-08,NOMURA-BROKER,RECEIVED,TRAIN
TRD100102,2026-08-08,ITC,INE100102,ITC,100,466.99,46699.0,DEUTSCHE-BROKER,EQ-CORE-02,BOOKED,2026-08-09,SELL,466.99,100,2026-08-08,DEUTSCHE-BROKER,RECEIVED,TRAIN
TRD100103,2026-08-17,KOTAKBANK,INE100103,KOTAKBANK,1000,1955.18,1955180.0,KOTAK-CUST,EQ-INDEX-04,BOOKED,2026-08-18,SELL,1955.18,1000,2026-08-17,KOTAK-CUST,RECEIVED,TRAIN
TRD100104,2026-08-09,SBIN,INE100104,SBIN,2000,843.66,1687320.0,HDFC-CUST,EQ-CORE-01,BOOKED,2026-08-10,BUY,843.66,2000,2026-08-09,HDFC-CUST,RECEIVED,TRAIN
TRD100105,2026-08-06,SBIN,INE100105,SBIN,200,847.65,169530.0,HDFC-CUST,EQ-CORE-02,BOOKED,2026-08-07,SELL,847.65,200,2026-08-06,HDFC-CUST,RECEIVED,TEST
TRD100106,2026-08-07,ICICIBANK,INE100106,ICICIBANK,750,1246.76,935070.0,KOTAK-CUST,EQ-CORE-02,BOOKED,2026-08-08,SELL,1246.76,750,2026-08-07,KOTAK-CUST,RECEIVED,TEST
TRD100107,2026-08-18,INFY,INE100107,INFY,750,1881.12,1410840.0,HDFC-CUST,EQ-ALPHA-03,BOOKED,2026-08-19,BUY,1881.12,750,2026-08-18,HDFC-CUST,RECEIVED,TRAIN
TRD100108,2026-08-05,RELIANCE,INE100108,RELIANCE,750,2856.13,2142097.5,NOMURA-BROKER,EQ-INDEX-04,BOOKED,2026-08-06,BUY,,,,,MISSING,TRAIN
TRD100109,2026-08-16,MARUTI,INE100109,MARUTI,100,12989.61,1298961.0,DEUTSCHE-BROKER,EQ-INDEX-04,BOOKED,2026-08-17,SELL,12989.61,100,2026-08-16,DEUTSCHE-BROKER,RECEIVED,TRAIN
TRD100110,2026-08-16,INFY,INE100110,INFY,100,1885.62,188562.0,ICICI-CUST,EQ-CORE-01,BOOKED,2026-08-17,SELL,1885.62,100,2026-08-16,ICICI-CUST,RECEIVED,TRAIN
TRD100111,2026-08-02,ITC,INE100111,ITC,200,469.26,93852.0,HDFC-CUST,EQ-CORE-02,BOOKED,2026-08-03,SELL,469.26,200,2026-08-02,HDFC-CUST,RECEIVED,TRAIN
TRD100112,2026-08-14,TCS,INE100112,TCS,500,4105.03,2052515.0,MORGANSTANLEY-BROKER,EQ-CORE-02,BOOKED,2026-08-15,SELL,4166.78,425,2026-08-14,MORGANSTANLEY-BROKER,RECEIVED,TRAIN
TRD100113,2026-08-19,ITC,INE100113,ITC,2000,467.95,935900.0,DEUTSCHE-BROKER,EQ-ALPHA-03,BOOKED,2026-08-20,BUY,,,,,MISSING,TRAIN
TRD100114,2026-08-07,AXISBANK,INE100114,AXISBANK,200,1185.53,237106.0,NOMURA-BROKER,EQ-CORE-02,BOOKED,2026-08-08,SELL,1185.53,200,2026-08-07,NOMURA-BROKER,RECEIVED,TEST
