doc_id,break_id,trade_id,symbol,quantity,price,counterparty,settlement_date,break_type,mismatch_type,root_cause,severity,corporate_action_type,template_used
doc_0034,BRK00198,TRD100392,SBIN,750,844.27,MORGANSTANLEY-BROKER,2026-08-08,POSITION,CA_MANDATORY_NOT_REFLECTED,"Mandatory corporate action (split/bonus) not yet reflected externally - mechanical, auto-correctable",P1,MANDATORY,template_mt564_ca_notice
doc_0035,BRK00205,TRD100406,RELIANCE,2000,2840.14,MORGANSTANLEY-BROKER,2026-08-14,POSITION,CA_MANDATORY_NOT_REFLECTED,"Mandatory corporate action (split/bonus) not yet reflected externally - mechanical, auto-correctable",P1,MANDATORY,template_mt564_ca_notice
doc_0036,BRK00216,TRD100427,KOTAKBANK,250,1946.93,KOTAK-CUST,2026-08-22,POSITION,CA_INCORRECT_ENTITLEMENT,Corporate action entitlement calculated incorrectly (wrong ratio applied),P1,MANDATORY,template_mt564_ca_notice
doc_0037,BRK00220,TRD100433,LT,100,3684.21,DEUTSCHE-BROKER,2026-08-07,POSITION,CA_MANDATORY_NOT_REFLECTED,"Mandatory corporate action (split/bonus) not yet reflected externally - mechanical, auto-correctable",P1,MANDATORY,template_mt564_ca_notice
doc_0038,BRK00223,TRD100440,SBIN,1000,842.49,DEUTSCHE-BROKER,2026-08-20,POSITION,CA_MANDATORY_NOT_REFLECTED,"Mandatory corporate action (split/bonus) not yet reflected externally - mechanical, auto-correctable",P1,MANDATORY,template_mt564_ca_notice
doc_0039,BRK00232,TRD100456,TCS,100,4107.54,ICICI-CUST,2026-08-18,POSITION,CA_VOLUNTARY_DECISION,"Voluntary corporate action (tender/conversion) pending an election - requires a human business decision, always escalated",P1,VOLUNTARY,template_mt564_ca_notice
doc_0040,BRK00233,TRD100458,RELIANCE,1000,2841.97,KOTAK-CUST,2026-08-20,POSITION,CA_MANDATORY_NOT_REFLECTED,"Mandatory corporate action (split/bonus) not yet reflected externally - mechanical, auto-correctable",P1,MANDATORY,template_mt564_ca_notice
doc_0041,BRK00245,TRD100485,TATASTEEL,250,171.89,KOTAK-CUST,2026-08-20,POSITION,CA_VOLUNTARY_DECISION,"Voluntary corporate action (tender/conversion) pending an election - requires a human business decision, always escalated",P1,VOLUNTARY,template_mt564_ca_notice
doc_0042,BRK00249,TRD100495,INFY,1000,1898.26,HDFC-CUST,2026-08-21,POSITION,CA_INCORRECT_ENTITLEMENT,Corporate action entitlement calculated incorrectly (wrong ratio applied),P1,MANDATORY,template_mt564_ca_notice
doc_0043,BRK00251,TRD100500,TATASTEEL,1500,172.44,KOTAK-CUST,2026-08-14,POSITION,CA_MANDATORY_NOT_REFLECTED,"Mandatory corporate action (split/bonus) not yet reflected externally - mechanical, auto-correctable",P1,MANDATORY,template_mt564_ca_notice
doc_0044,BRK00253,TRD100502,ITC,200,470.3,KOTAK-CUST,2026-08-03,POSITION,CA_INCORRECT_ENTITLEMENT,Corporate action entitlement calculated incorrectly (wrong ratio applied),P1,MANDATORY,template_mt564_ca_notice
doc_0045,BRK00258,TRD100514,LT,100,3692.69,DEUTSCHE-BROKER,2026-08-18,POSITION,CA_MANDATORY_NOT_REFLECTED,"Mandatory corporate action (split/bonus) not yet reflected externally - mechanical, auto-correctable",P1,MANDATORY,template_mt564_ca_notice
doc_0046,BRK00261,TRD100519,LT,2000,3695.5,NOMURA-BROKER,2026-08-02,POSITION,CA_MANDATORY_NOT_REFLECTED,"Mandatory corporate action (split/bonus) not yet reflected externally - mechanical, auto-correctable",P1,MANDATORY,template_mt564_ca_notice
doc_0047,BRK00262,TRD100521,AXISBANK,200,1183.62,KOTAK-CUST,2026-08-19,POSITION,CA_INCORRECT_ENTITLEMENT,Corporate action entitlement calculated incorrectly (wrong ratio applied),P1,MANDATORY,template_mt564_ca_notice
doc_0048,BRK00275,TRD100552,HDFCBANK,250,1676.48,DEUTSCHE-BROKER,2026-08-07,POSITION,CA_VOLUNTARY_DECISION,"Voluntary corporate action (tender/conversion) pending an election - requires a human business decision, always escalated",P1,VOLUNTARY,template_mt564_ca_notice
doc_0049,BRK00277,TRD100554,RELIANCE,100,2851.46,ICICI-CUST,2026-08-13,POSITION,CA_INCORRECT_ENTITLEMENT,Corporate action entitlement calculated incorrectly (wrong ratio applied),P1,MANDATORY,template_mt564_ca_notice
doc_0050,BRK00280,TRD100559,TATASTEEL,1500,171.62,NOMURA-BROKER,2026-08-09,POSITION,CA_INCORRECT_ENTITLEMENT,Corporate action entitlement calculated incorrectly (wrong ratio applied),P1,MANDATORY,template_mt564_ca_notice
doc_0051,BRK00283,TRD100571,RELIANCE,200,2859.43,KOTAK-CUST,2026-08-03,POSITION,CA_MANDATORY_NOT_REFLECTED,"Mandatory corporate action (split/bonus) not yet reflected externally - mechanical, auto-correctable",P1,MANDATORY,template_mt564_ca_notice
doc_0052,BRK00284,TRD100578,ITC,2000,467.09,DEUTSCHE-BROKER,2026-08-15,POSITION,CA_INCORRECT_ENTITLEMENT,Corporate action entitlement calculated incorrectly (wrong ratio applied),P1,MANDATORY,template_mt564_ca_notice
doc_0053,BRK00293,TRD100599,HDFCBANK,500,1677.28,NOMURA-BROKER,2026-08-11,POSITION,CA_INCORRECT_ENTITLEMENT,Corporate action entitlement calculated incorrectly (wrong ratio applied),P1,MANDATORY,template_mt564_ca_notice
doc_0054,BRK00294,TRD100600,WIPRO,250,610.37,KOTAK-CUST,2026-08-22,POSITION,CA_INCORRECT_ENTITLEMENT,Corporate action entitlement calculated incorrectly (wrong ratio applied),P1,MANDATORY,template_mt564_ca_notice
doc_0055,BRK00299,TRD100610,INFY,200,1887.98,KOTAK-CUST,2026-08-15,POSITION,CA_MANDATORY_NOT_REFLECTED,"Mandatory corporate action (split/bonus) not yet reflected externally - mechanical, auto-correctable",P1,MANDATORY,template_mt564_ca_notice
doc_0056,BRK00304,TRD100619,RELIANCE,1000,2850.91,DEUTSCHE-BROKER,2026-08-18,POSITION,CA_MANDATORY_NOT_REFLECTED,"Mandatory corporate action (split/bonus) not yet reflected externally - mechanical, auto-correctable",P1,MANDATORY,template_mt564_ca_notice
doc_0057,BRK00309,TRD100630,KOTAKBANK,1000,1964.65,MORGANSTANLEY-BROKER,2026-08-02,POSITION,CA_INCORRECT_ENTITLEMENT,Corporate action entitlement calculated incorrectly (wrong ratio applied),P1,MANDATORY,template_mt564_ca_notice
doc_0058,BRK00311,TRD100635,KOTAKBANK,200,1950.82,NOMURA-BROKER,2026-08-08,POSITION,CA_VOLUNTARY_DECISION,"Voluntary corporate action (tender/conversion) pending an election - requires a human business decision, always escalated",P1,VOLUNTARY,template_mt564_ca_notice
doc_0059,BRK00312,TRD100639,HDFCBANK,500,1678.75,DEUTSCHE-BROKER,2026-08-22,POSITION,CA_MANDATORY_NOT_REFLECTED,"Mandatory corporate action (split/bonus) not yet reflected externally - mechanical, auto-correctable",P1,MANDATORY,template_mt564_ca_notice
doc_0060,BRK00317,TRD100647,HINDUNILVR,250,2744.12,MORGANSTANLEY-BROKER,2026-08-07,POSITION,CA_MANDATORY_NOT_REFLECTED,"Mandatory corporate action (split/bonus) not yet reflected externally - mechanical, auto-correctable",P1,MANDATORY,template_mt564_ca_notice
doc_0061,BRK00320,TRD100656,KOTAKBANK,500,1954.03,NOMURA-BROKER,2026-08-12,POSITION,CA_MANDATORY_NOT_REFLECTED,"Mandatory corporate action (split/bonus) not yet reflected externally - mechanical, auto-correctable",P1,MANDATORY,template_mt564_ca_notice
doc_0062,BRK00322,TRD100664,AXISBANK,200,1176.44,MORGANSTANLEY-BROKER,2026-08-21,POSITION,CA_MANDATORY_NOT_REFLECTED,"Mandatory corporate action (split/bonus) not yet reflected externally - mechanical, auto-correctable",P1,MANDATORY,template_mt564_ca_notice
doc_0063,BRK00324,TRD100666,LT,1500,3675.38,NOMURA-BROKER,2026-08-03,POSITION,CA_VOLUNTARY_DECISION,"Voluntary corporate action (tender/conversion) pending an election - requires a human business decision, always escalated",P1,VOLUNTARY,template_mt564_ca_notice
doc_0064,BRK00329,TRD100675,HINDUNILVR,250,2734.63,DEUTSCHE-BROKER,2026-08-18,POSITION,CA_VOLUNTARY_DECISION,"Voluntary corporate action (tender/conversion) pending an election - requires a human business decision, always escalated",P1,VOLUNTARY,template_mt564_ca_notice
doc_0065,BRK00337,TRD100692,ITC,500,467.66,KOTAK-CUST,2026-08-09,POSITION,CA_MANDATORY_NOT_REFLECTED,"Mandatory corporate action (split/bonus) not yet reflected externally - mechanical, auto-correctable",P1,MANDATORY,template_mt564_ca_notice
doc_0066,BRK00342,TRD100702,ITC,250,469.23,NOMURA-BROKER,2026-08-20,POSITION,CA_MANDATORY_NOT_REFLECTED,"Mandatory corporate action (split/bonus) not yet reflected externally - mechanical, auto-correctable",P1,MANDATORY,template_mt564_ca_notice
doc_0067,BRK00347,TRD100708,RELIANCE,1500,2839.7,HDFC-CUST,2026-08-21,POSITION,CA_MANDATORY_NOT_REFLECTED,"Mandatory corporate action (split/bonus) not yet reflected externally - mechanical, auto-correctable",P1,MANDATORY,template_mt564_ca_notice
doc_0068,BRK00351,TRD100715,WIPRO,200,608.58,ICICI-CUST,2026-08-14,POSITION,CA_VOLUNTARY_DECISION,"Voluntary corporate action (tender/conversion) pending an election - requires a human business decision, always escalated",P1,VOLUNTARY,template_mt564_ca_notice
doc_0069,BRK00356,TRD100723,RELIANCE,250,2846.05,MORGANSTANLEY-BROKER,2026-08-17,POSITION,CA_MANDATORY_NOT_REFLECTED,"Mandatory corporate action (split/bonus) not yet reflected externally - mechanical, auto-correctable",P1,MANDATORY,template_mt564_ca_notice
doc_0070,BRK00371,TRD100754,TCS,2000,4108.04,MORGANSTANLEY-BROKER,2026-08-03,POSITION,CA_INCORRECT_ENTITLEMENT,Corporate action entitlement calculated incorrectly (wrong ratio applied),P1,MANDATORY,template_mt564_ca_notice
doc_0071,BRK00373,TRD100759,WIPRO,500,610.54,HDFC-CUST,2026-08-08,POSITION,CA_VOLUNTARY_DECISION,"Voluntary corporate action (tender/conversion) pending an election - requires a human business decision, always escalated",P1,VOLUNTARY,template_mt564_ca_notice
doc_0072,BRK00378,TRD100766,AXISBANK,100,1180.46,ICICI-CUST,2026-08-11,POSITION,CA_MANDATORY_NOT_REFLECTED,"Mandatory corporate action (split/bonus) not yet reflected externally - mechanical, auto-correctable",P1,MANDATORY,template_mt564_ca_notice
doc_0073,BRK00382,TRD100775,INFY,100,1893.58,DEUTSCHE-BROKER,2026-08-14,POSITION,CA_INCORRECT_ENTITLEMENT,Corporate action entitlement calculated incorrectly (wrong ratio applied),P1,MANDATORY,template_mt564_ca_notice
doc_0074,BRK00384,TRD100779,BHARTIARTL,500,1691.43,HDFC-CUST,2026-08-18,POSITION,CA_VOLUNTARY_DECISION,"Voluntary corporate action (tender/conversion) pending an election - requires a human business decision, always escalated",P1,VOLUNTARY,template_mt564_ca_notice
doc_0075,BRK00389,TRD100786,WIPRO,500,608.54,KOTAK-CUST,2026-08-18,POSITION,CA_VOLUNTARY_DECISION,"Voluntary corporate action (tender/conversion) pending an election - requires a human business decision, always escalated",P1,VOLUNTARY,template_mt564_ca_notice
doc_0076,BRK00398,TRD100804,INFY,2000,1894.31,HDFC-CUST,2026-08-13,POSITION,CA_INCORRECT_ENTITLEMENT,Corporate action entitlement calculated incorrectly (wrong ratio applied),P1,MANDATORY,template_mt564_ca_notice
doc_0077,BRK00399,TRD100808,MARUTI,2000,13030.31,DEUTSCHE-BROKER,2026-08-15,POSITION,CA_MANDATORY_NOT_REFLECTED,"Mandatory corporate action (split/bonus) not yet reflected externally - mechanical, auto-correctable",P1,MANDATORY,template_mt564_ca_notice
doc_0078,BRK00400,TRD100809,WIPRO,1000,609.7,MORGANSTANLEY-BROKER,2026-08-20,POSITION,CA_MANDATORY_NOT_REFLECTED,"Mandatory corporate action (split/bonus) not yet reflected externally - mechanical, auto-correctable",P1,MANDATORY,template_mt564_ca_notice
doc_0079,BRK00417,TRD100849,WIPRO,100,610.1,ICICI-CUST,2026-08-18,POSITION,CA_VOLUNTARY_DECISION,"Voluntary corporate action (tender/conversion) pending an election - requires a human business decision, always escalated",P1,VOLUNTARY,template_mt564_ca_notice
doc_0080,BRK00419,TRD100855,INFY,750,1891.7,ICICI-CUST,2026-08-07,POSITION,CA_VOLUNTARY_DECISION,"Voluntary corporate action (tender/conversion) pending an election - requires a human business decision, always escalated",P1,VOLUNTARY,template_mt564_ca_notice
doc_0081,BRK00427,TRD100874,RELIANCE,1000,2861.93,ICICI-CUST,2026-08-03,POSITION,CA_VOLUNTARY_DECISION,"Voluntary corporate action (tender/conversion) pending an election - requires a human business decision, always escalated",P1,VOLUNTARY,template_mt564_ca_notice
doc_0082,BRK00444,TRD100907,TATASTEEL,200,172.79,KOTAK-CUST,2026-08-10,POSITION,CA_MANDATORY_NOT_REFLECTED,"Mandatory corporate action (split/bonus) not yet reflected externally - mechanical, auto-correctable",P1,MANDATORY,template_mt564_ca_notice
doc_0083,BRK00466,TRD100941,ITC,250,467.3,ICICI-CUST,2026-08-03,POSITION,CA_INCORRECT_ENTITLEMENT,Corporate action entitlement calculated incorrectly (wrong ratio applied),P1,MANDATORY,template_mt564_ca_notice
doc_0084,BRK00467,TRD100944,LT,200,3664.36,NOMURA-BROKER,2026-08-09,POSITION,CA_MANDATORY_NOT_REFLECTED,"Mandatory corporate action (split/bonus) not yet reflected externally - mechanical, auto-correctable",P1,MANDATORY,template_mt564_ca_notice
doc_0085,BRK00469,TRD100947,TCS,2000,4124.26,DEUTSCHE-BROKER,2026-08-03,POSITION,CA_VOLUNTARY_DECISION,"Voluntary corporate action (tender/conversion) pending an election - requires a human business decision, always escalated",P1,VOLUNTARY,template_mt564_ca_notice
doc_0086,BRK00478,TRD100967,RELIANCE,200,2846.87,DEUTSCHE-BROKER,2026-08-16,POSITION,CA_INCORRECT_ENTITLEMENT,Corporate action entitlement calculated incorrectly (wrong ratio applied),P1,MANDATORY,template_mt564_ca_notice
doc_0087,BRK00491,TRD100987,HDFCBANK,100,1668.22,NOMURA-BROKER,2026-08-16,POSITION,CA_VOLUNTARY_DECISION,"Voluntary corporate action (tender/conversion) pending an election - requires a human business decision, always escalated",P1,VOLUNTARY,template_mt564_ca_notice
doc_0088,BRK00496,TRD100996,MARUTI,750,13023.43,DEUTSCHE-BROKER,2026-08-11,POSITION,CA_INCORRECT_ENTITLEMENT,Corporate action entitlement calculated incorrectly (wrong ratio applied),P1,MANDATORY,template_mt564_ca_notice
doc_0089,BRK00513,TRD101027,RELIANCE,2000,2855.41,DEUTSCHE-BROKER,2026-08-14,POSITION,CA_VOLUNTARY_DECISION,"Voluntary corporate action (tender/conversion) pending an election - requires a human business decision, always escalated",P1,VOLUNTARY,template_mt564_ca_notice
doc_0090,BRK00517,TRD101037,HINDUNILVR,100,2759.07,DEUTSCHE-BROKER,2026-08-05,POSITION,CA_INCORRECT_ENTITLEMENT,Corporate action entitlement calculated incorrectly (wrong ratio applied),P1,MANDATORY,template_mt564_ca_notice
doc_0091,BRK00518,TRD101038,MARUTI,1500,12972.54,ICICI-CUST,2026-08-03,POSITION,CA_MANDATORY_NOT_REFLECTED,"Mandatory corporate action (split/bonus) not yet reflected externally - mechanical, auto-correctable",P1,MANDATORY,template_mt564_ca_notice
doc_0092,BRK00520,TRD101040,HINDUNILVR,200,2747.49,NOMURA-BROKER,2026-08-17,POSITION,CA_INCORRECT_ENTITLEMENT,Corporate action entitlement calculated incorrectly (wrong ratio applied),P1,MANDATORY,template_mt564_ca_notice
doc_0093,BRK00521,TRD101041,LT,250,3680.4,KOTAK-CUST,2026-08-14,POSITION,CA_INCORRECT_ENTITLEMENT,Corporate action entitlement calculated incorrectly (wrong ratio applied),P1,MANDATORY,template_mt564_ca_notice
doc_0094,BRK00524,TRD101048,AXISBANK,100,1185.98,MORGANSTANLEY-BROKER,2026-08-14,POSITION,CA_VOLUNTARY_DECISION,"Voluntary corporate action (tender/conversion) pending an election - requires a human business decision, always escalated",P1,VOLUNTARY,template_mt564_ca_notice
doc_0095,BRK00526,TRD101052,RELIANCE,750,2864.64,HDFC-CUST,2026-08-14,POSITION,CA_VOLUNTARY_DECISION,"Voluntary corporate action (tender/conversion) pending an election - requires a human business decision, always escalated",P1,VOLUNTARY,template_mt564_ca_notice
doc_0096,BRK00531,TRD101063,INFY,100,1885.73,NOMURA-BROKER,2026-08-10,POSITION,CA_VOLUNTARY_DECISION,"Voluntary corporate action (tender/conversion) pending an election - requires a human business decision, always escalated",P1,VOLUNTARY,template_mt564_ca_notice
doc_0097,BRK00544,TRD101093,WIPRO,1500,611.62,KOTAK-CUST,2026-08-21,POSITION,CA_VOLUNTARY_DECISION,"Voluntary corporate action (tender/conversion) pending an election - requires a human business decision, always escalated",P1,VOLUNTARY,template_mt564_ca_notice
doc_0098,BRK00546,TRD101097,TATASTEEL,2000,171.82,NOMURA-BROKER,2026-08-12,POSITION,CA_INCORRECT_ENTITLEMENT,Corporate action entitlement calculated incorrectly (wrong ratio applied),P1,MANDATORY,template_mt564_ca_notice
doc_0099,BRK00547,TRD101098,ICICIBANK,200,1238.48,DEUTSCHE-BROKER,2026-08-06,POSITION,CA_VOLUNTARY_DECISION,"Voluntary corporate action (tender/conversion) pending an election - requires a human business decision, always escalated",P1,VOLUNTARY,template_mt564_ca_notice
doc_0100,BRK00550,TRD101103,WIPRO,2000,610.09,NOMURA-BROKER,2026-08-05,POSITION,CA_VOLUNTARY_DECISION,"Voluntary corporate action (tender/conversion) pending an election - requires a human business decision, always escalated",P1,VOLUNTARY,template_mt564_ca_notice
doc_0101,BRK00553,TRD101107,RELIANCE,750,2855.67,DEUTSCHE-BROKER,2026-08-05,POSITION,CA_INCORRECT_ENTITLEMENT,Corporate action entitlement calculated incorrectly (wrong ratio applied),P1,MANDATORY,template_mt564_ca_notice
doc_0102,BRK00556,TRD101112,BHARTIARTL,750,1684.96,ICICI-CUST,2026-08-14,POSITION,CA_INCORRECT_ENTITLEMENT,Corporate action entitlement calculated incorrectly (wrong ratio applied),P1,MANDATORY,template_mt564_ca_notice
doc_0103,BRK00557,TRD101123,TCS,2000,4127.38,KOTAK-CUST,2026-08-20,POSITION,CA_INCORRECT_ENTITLEMENT,Corporate action entitlement calculated incorrectly (wrong ratio applied),P1,MANDATORY,template_mt564_ca_notice
doc_0104,BRK00559,TRD101127,TATASTEEL,250,171.95,NOMURA-BROKER,2026-08-04,POSITION,CA_VOLUNTARY_DECISION,"Voluntary corporate action (tender/conversion) pending an election - requires a human business decision, always escalated",P1,VOLUNTARY,template_mt564_ca_notice
doc_0105,BRK00565,TRD101143,HINDUNILVR,250,2748.95,NOMURA-BROKER,2026-08-11,POSITION,CA_VOLUNTARY_DECISION,"Voluntary corporate action (tender/conversion) pending an election - requires a human business decision, always escalated",P1,VOLUNTARY,template_mt564_ca_notice
doc_0106,BRK00569,TRD101150,HINDUNILVR,200,2754.49,MORGANSTANLEY-BROKER,2026-08-03,POSITION,CA_INCORRECT_ENTITLEMENT,Corporate action entitlement calculated incorrectly (wrong ratio applied),P1,MANDATORY,template_mt564_ca_notice
