settlement_id,trade_id,settlement_date,settlement_status,instruction_status,custodian,quantity,amount,ssi_code,split
132,TRD100131,2026-08-04,SETTLED,INSTRUCTED,HDFC-CUST,100,124145.0,SSI-IN-0147,TEST
133,TRD100132,2026-08-11,SETTLED,INSTRUCTED,MORGANSTANLEY-BROKER,250,1030170.0,SSI-US-7742,TEST
134,TRD100133,2026-08-09,SETTLED,INSTRUCTED,DEUTSCHE-BROKER,2000,26084680.0,SSI-DE-5510,TEST
135,TRD100134,2026-08-10,SETTLED,INSTRUCTED,DEUTSCHE-BROKER,250,420325.0,SSI-DE-5510,TRAIN
136,TRD100135,2026-08-11,PENDING,MISSING,MORGANSTANLEY-BROKER,100,1295181.0,,TRAIN
137,TRD100136,2026-08-19,SETTLED,INSTRUCTED,MORGANSTANLEY-BROKER,2000,936340.0,SSI-US-7742,TEST
138,TRD100137,2026-08-09,SETTLED,INSTRUCTED,MORGANSTANLEY-BROKER,1000,173090.0,SSI-US-7742,TRAIN
139,TRD100138,2026-08-17,SETTLED,INSTRUCTED,NOMURA-BROKER,1500,19381155.0,SSI-JP-3389,TRAIN
140,TRD100139,2026-08-03,SETTLED,INSTRUCTED,HDFC-CUST,250,488902.5,SSI-IN-0147,TRAIN
141,TRD100140,2026-08-16,SETTLED,INSTRUCTED,ICICI-CUST,2000,25856080.0,SSI-IN-0091,TRAIN
142,TRD100141,2026-08-10,SETTLED,INSTRUCTED,KOTAK-CUST,250,3231202.5,SSI-IN-0203,TRAIN
143,TRD100142,2026-08-19,SETTLED,INSTRUCTED,DEUTSCHE-BROKER,1000,13025730.0,SSI-DE-5510,TRAIN
144,TRD100143,2026-08-09,SETTLED,INSTRUCTED,NOMURA-BROKER,100,1299525.0,SSI-JP-3389,TRAIN
145,TRD100144,2026-08-06,SETTLED,INSTRUCTED,NOMURA-BROKER,200,121990.0,SSI-JP-3389,TRAIN
146,TRD100145,2026-08-03,SETTLED,INSTRUCTED,KOTAK-CUST,750,1423447.5,SSI-IN-0203,TEST
147,TRD100146,2026-08-09,SETTLED,INSTRUCTED,MORGANSTANLEY-BROKER,1000,845010.0,SSI-US-7742,TRAIN
148,TRD100147,2026-08-14,SETTLED,INSTRUCTED,MORGANSTANLEY-BROKER,250,470585.0,SSI-US-7742,TRAIN
149,TRD100148,2026-08-23,SETTLED,INSTRUCTED,KOTAK-CUST,250,42997.5,SSI-IN-0203,TEST
150,TRD100149,2026-08-16,SETTLED,INSTRUCTED,KOTAK-CUST,100,196350.0,SSI-IN-0203,TRAIN
151,TRD100150,2026-08-11,PENDING,MISSING,NOMURA-BROKER,1000,471190.0,,TRAIN
152,TRD100151,2026-08-14,SETTLED,INSTRUCTED,DEUTSCHE-BROKER,750,350617.5,SSI-DE-5510,TEST
153,TRD100152,2026-08-11,SETTLED,INSTRUCTED,ICICI-CUST,1000,1691660.0,SSI-IN-0091,TEST
154,TRD100153,2026-08-17,SETTLED,INSTRUCTED,KOTAK-CUST,100,286220.0,SSI-IN-0203,TRAIN
155,TRD100154,2026-08-06,SETTLED,INSTRUCTED,NOMURA-BROKER,500,838615.0,SSI-JP-3389,TRAIN
156,TRD100155,2026-08-14,SETTLED,INSTRUCTED,NOMURA-BROKER,2000,2470020.0,SSI-JP-3389,TRAIN
157,TRD100156,2026-08-15,SETTLED,INSTRUCTED,HDFC-CUST,750,129112.5,SSI-IN-0147,TRAIN
158,TRD100157,2026-08-10,SETTLED,INSTRUCTED,HDFC-CUST,1000,2746450.0,SSI-IN-0147,TEST
159,TRD100158,2026-08-12,SETTLED,INSTRUCTED,ICICI-CUST,750,2064277.5,SSI-IN-0091,TEST
160,TRD100159,2026-08-14,SETTLED,INSTRUCTED,MORGANSTANLEY-BROKER,500,948555.0,SSI-US-7742,TRAIN
161,TRD100160,2026-08-19,SETTLED,INSTRUCTED,ICICI-CUST,1500,4098375.0,SSI-IN-0091,TRAIN
162,TRD100161,2026-08-22,SETTLED,INSTRUCTED,KOTAK-CUST,750,1468012.5,SSI-IN-0203,TEST
163,TRD100162,2026-08-19,SETTLED,INSTRUCTED,KOTAK-CUST,100,46946.0,SSI-IN-0203,TEST
164,TRD100163,2026-08-11,SETTLED,INSTRUCTED,NOMURA-BROKER,2000,3927420.0,SSI-JP-3389,TEST
165,TRD100164,2026-08-11,SETTLED,INSTRUCTED,DEUTSCHE-BROKER,100,189874.0,SSI-DE-5510,TRAIN
166,TRD100165,2026-08-13,SETTLED,INSTRUCTED,NOMURA-BROKER,250,418332.5,SSI-JP-3389,TRAIN
167,TRD100166,2026-08-17,SETTLED,INSTRUCTED,MORGANSTANLEY-BROKER,1500,259080.0,SSI-US-7742,TRAIN
168,TRD100167,2026-08-16,SETTLED,INSTRUCTED,HDFC-CUST,1000,2842440.0,SSI-IN-0147,TRAIN
169,TRD100168,2026-08-22,SETTLED,INSTRUCTED,KOTAK-CUST,1000,1956570.0,SSI-IN-0203,TRAIN
170,TRD100169,2026-08-16,SETTLED,INSTRUCTED,ICICI-CUST,500,623305.0,SSI-IN-0091,TEST
171,TRD100170,2026-08-06,SETTLED,INSTRUCTED,MORGANSTANLEY-BROKER,1000,2843190.0,SSI-US-7742,TRAIN
172,TRD100171,2026-08-11,PENDING,INSTRUCTED,KOTAK-CUST,500,6495605.0,SSI-IN-0203,TRAIN
173,TRD100172,2026-08-19,SETTLED,INSTRUCTED,KOTAK-CUST,250,311712.5,SSI-IN-0203,TEST
174,TRD100173,2026-08-13,SETTLED,INSTRUCTED,HDFC-CUST,100,194850.0,SSI-IN-0147,TRAIN
175,TRD100174,2026-08-15,SETTLED,INSTRUCTED,MORGANSTANLEY-BROKER,750,1411380.0,SSI-US-7742,TRAIN
176,TRD100175,2026-08-21,PENDING,INSTRUCTED,MORGANSTANLEY-BROKER,2000,940400.0,SSI-US-7742,TRAIN
177,TRD100176,2026-08-03,SETTLED,INSTRUCTED,NOMURA-BROKER,500,1848270.0,SSI-JP-3389,TRAIN
178,TRD100177,2026-08-17,SETTLED,INSTRUCTED,DEUTSCHE-BROKER,100,194711.0,SSI-DE-5510,TEST
179,TRD100178,2026-08-04,SETTLED,INSTRUCTED,KOTAK-CUST,2000,933800.0,SSI-IN-0203,TRAIN
180,TRD100179,2026-08-22,PENDING,INSTRUCTED,MORGANSTANLEY-BROKER,750,1419487.5,SSI-US-7742,TRAIN
181,TRD100180,2026-08-21,SETTLED,INSTRUCTED,DEUTSCHE-BROKER,750,884775.0,SSI-DE-5510,TRAIN
182,TRD100181,2026-08-09,SETTLED,INSTRUCTED,DEUTSCHE-BROKER,500,6485460.0,SSI-DE-5510,TEST
183,TRD100182,2026-08-12,SETTLED,INSTRUCTED,DEUTSCHE-BROKER,1500,2541420.0,SSI-DE-5510,TRAIN
184,TRD100183,2026-08-17,SETTLED,INSTRUCTED,ICICI-CUST,250,211795.0,SSI-IN-0091,TEST
185,TRD100184,2026-08-13,SETTLED,INSTRUCTED,HDFC-CUST,1500,6156195.0,SSI-IN-0147,TRAIN
186,TRD100185,2026-08-15,SETTLED,INSTRUCTED,NOMURA-BROKER,200,390792.0,SSI-JP-3389,TEST
187,TRD100186,2026-08-20,FAILED,INCORRECT,MORGANSTANLEY-BROKER,750,883875.0,SSI-IN-0203,TRAIN
188,TRD100187,2026-08-05,SETTLED,INSTRUCTED,KOTAK-CUST,2000,3900620.0,SSI-IN-0203,TEST
189,TRD100188,2026-08-15,SETTLED,INSTRUCTED,MORGANSTANLEY-BROKER,750,2060722.5,SSI-US-7742,TRAIN
190,TRD100189,2026-08-11,SETTLED,INSTRUCTED,KOTAK-CUST,250,711010.0,SSI-IN-0203,TRAIN
191,TRD100190,2026-08-14,SETTLED,INSTRUCTED,ICICI-CUST,250,472887.5,SSI-IN-0091,TEST
192,TRD100191,2026-08-16,SETTLED,INSTRUCTED,KOTAK-CUST,500,2057825.0,SSI-IN-0203,TRAIN
193,TRD100192,2026-08-21,SETTLED,INSTRUCTED,MORGANSTANLEY-BROKER,1000,1244230.0,SSI-US-7742,TEST
194,TRD100193,2026-08-03,SETTLED,INSTRUCTED,NOMURA-BROKER,250,473777.5,SSI-JP-3389,TEST
195,TRD100194,2026-08-16,SETTLED,INSTRUCTED,DEUTSCHE-BROKER,1500,703245.0,SSI-DE-5510,TRAIN
196,TRD100195,2026-08-05,SETTLED,INSTRUCTED,KOTAK-CUST,200,548270.0,SSI-IN-0203,TRAIN
197,TRD100196,2026-08-22,SETTLED,INSTRUCTED,ICICI-CUST,500,1423755.0,SSI-IN-0091,TRAIN
198,TRD100197,2026-08-10,SETTLED,INSTRUCTED,KOTAK-CUST,500,622060.0,SSI-IN-0203,TRAIN
199,TRD100198,2026-08-07,SETTLED,INSTRUCTED,HDFC-CUST,2000,5715080.0,SSI-IN-0147,TRAIN
200,TRD100199,2026-08-03,SETTLED,INSTRUCTED,DEUTSCHE-BROKER,1000,3664400.0,SSI-DE-5510,TRAIN
201,TRD100200,2026-08-20,SETTLED,INSTRUCTED,DEUTSCHE-BROKER,200,34614.0,SSI-DE-5510,TRAIN
202,TRD100201,2026-08-12,SETTLED,INSTRUCTED,HDFC-CUST,200,247924.0,SSI-IN-0147,TEST
203,TRD100202,2026-08-09,SETTLED,INSTRUCTED,DEUTSCHE-BROKER,1500,6202425.0,SSI-DE-5510,TRAIN
204,TRD100203,2026-08-09,FAILED,INCORRECT,KOTAK-CUST,750,1270920.0,SSI-IN-0091,TRAIN
205,TRD100204,2026-08-08,SETTLED,INSTRUCTED,KOTAK-CUST,200,736256.0,SSI-IN-0203,TRAIN
206,TRD100205,2026-08-08,SETTLED,INSTRUCTED,HDFC-CUST,200,333856.0,SSI-IN-0147,TRAIN
207,TRD100206,2026-08-20,SETTLED,INSTRUCTED,MORGANSTANLEY-BROKER,2000,3779240.0,SSI-US-7742,TRAIN
208,TRD100207,2026-08-04,SETTLED,INSTRUCTED,DEUTSCHE-BROKER,1000,12934690.0,SSI-DE-5510,TRAIN
209,TRD100208,2026-08-13,SETTLED,INSTRUCTED,MORGANSTANLEY-BROKER,750,2061082.5,SSI-US-7742,TRAIN
210,TRD100209,2026-08-14,SETTLED,INSTRUCTED,KOTAK-CUST,2000,933460.0,SSI-IN-0203,TEST
211,TRD100210,2026-08-19,SETTLED,INSTRUCTED,NOMURA-BROKER,1500,1769715.0,SSI-JP-3389,TEST
212,TRD100211,2026-08-17,SETTLED,INSTRUCTED,MORGANSTANLEY-BROKER,500,86070.0,SSI-US-7742,TEST
213,TRD100212,2026-08-12,SETTLED,INSTRUCTED,NOMURA-BROKER,200,94072.0,SSI-JP-3389,TRAIN
214,TRD100213,2026-08-16,SETTLED,INSTRUCTED,MORGANSTANLEY-BROKER,500,1428210.0,SSI-US-7742,TRAIN
215,TRD100214,2026-08-12,SETTLED,INSTRUCTED,NOMURA-BROKER,750,633487.5,SSI-JP-3389,TEST
216,TRD100215,2026-08-14,SETTLED,INSTRUCTED,KOTAK-CUST,1000,4104040.0,SSI-IN-0203,TEST
